Variable,IV
ActBal_CA,0.3004938949092181
Avg_CA_bal,0.2804925178708443
VolumeCred_CA,0.198256555545462
Avg_SA_bal,0.16235826541490528
VolumeDeb,0.14450511679140624
ActBal_SA,0.1393002233139383
VolumeCred,0.13162270699456077
VolumeDeb_CA,0.12946469773291994
TransactionsDeb_CA,0.12773569140031749
utilization_CA,0.11173910651596751
Age,0.09611693513159693
TransactionsDeb_PaymentOrder,0.09209615634496082
VolumeDebCashless_Card,0.09191458245789061
VolumeDeb_PaymentOrder,0.07685960803592864
TransactionsDeb,0.0720541263203707
TransactionsDebCashless_Card,0.06741133035486983
Tenure,0.06178085040017832
Count_SA,0.050769356306712365
VolumeDebCash_Card,0.048679399491993416
TransactionsDebCash_Card,0.03871149624779657
TransactionsCred_CA,0.03529964079022286
Avg_MF_bal,0.03139951122600989
TransactionsCred,0.020632620740225507
ActBal_CL,0.016098470022138697
Sex,0.015703268268136353
Count_CL,0.011070906964238668
ActBal_CC,0.010907316340921559
Count_CC,0.009270798797940885
Count_OVD,0.007982001946846997
ActBal_MF,0.0024771171273952086
Count_MF,0.001943324555979492
ActBal_OVD,0.0015297431417498704
Count_CA,0.0003681428664018097
