Variable,IV
TransactionsDeb,0.25718202637053894
ActBal_CA,0.2215102372500446
TransactionsDebCashless_Card,0.1889903258542706
utilization_CA,0.18217185566054678
VolumeCred_CA,0.14821274525729444
VolumeDeb,0.139661022829538
TransactionsCred_CA,0.12912381352564734
VolumeDeb_PaymentOrder,0.12464788254997902
Avg_CA_bal,0.12459801325755218
VolumeCred,0.12045065259910843
Age,0.12017764221177525
VolumeDeb_CA,0.11706433388988147
TransactionsCred,0.10391911290824636
Avg_SA_bal,0.10241598734086146
Avg_MF_bal,0.09551879245315423
Count_MF,0.09358776070916866
TransactionsDeb_CA,0.08893697908713259
Tenure,0.08007220542839327
TransactionsDeb_PaymentOrder,0.07175532290671652
VolumeDebCashless_Card,0.06545489934273191
TransactionsDebCash_Card,0.05455190075962819
ActBal_MF,0.04318990370009936
VolumeDebCash_Card,0.03796856630231859
ActBal_CC,0.023956573328607136
Count_CA,0.01648342215623248
Count_CC,0.014082377266507882
ActBal_OVD,0.013028925032870987
Sex,0.012362208676802749
ActBal_SA,0.012101461231825587
ActBal_CL,0.006806729411447767
Count_SA,0.006245821029273879
Count_CL,0.0009016420743153372
Count_OVD,7.165180450935041e-05
